	PD15		ND15		PD30		ND30		PD60		ND60		PD120		ND120		PD240		ND240	
1.5385	-0.0024	0.0038	-0.0001	0.0044	-0.0007	0.0022	-0.0059	0.0040	0.0064	0.0045	0.0026	0.0037	0.0168	0.0055	0.0072	0.0041	0.0541	0.0067	0.0396	0.0067
1.6154	-0.0021	0.0041	-0.0078	0.0037	-0.0016	0.0033	0.0004	0.0036	0.0001	0.0045	-0.0005	0.0029	0.0158	0.0040	0.0096	0.0037	0.0188	0.0063	0.0166	0.0076
1.6923	-0.0041	0.0050	-0.0064	0.0035	-0.0016	0.0021	0.0025	0.0038	0.0024	0.0045	-0.0015	0.0037	0.0106	0.0039	0.0051	0.0037	0.0012	0.0075	-0.0078	0.0067
1.7692	-0.0035	0.0033	-0.0024	0.0044	0.0015	0.0023	-0.0023	0.0041	-0.0016	0.0040	0.0011	0.0026	0.0492	0.0080	0.0187	0.0049	-0.0108	0.0057	-0.0130	0.0054
1.8462	-0.0048	0.0053	-0.0058	0.0032	-0.0041	0.0033	-0.0018	0.0037	0.0003	0.0053	-0.0064	0.0040	0.0933	0.0072	0.0448	0.0050	-0.0207	0.0062	-0.0156	0.0073
1.9231	-0.0028	0.0030	-0.0007	0.0048	-0.0048	0.0034	-0.0033	0.0037	0.0094	0.0049	-0.0054	0.0044	0.0806	0.0085	0.0541	0.0042	-0.0231	0.0067	-0.0169	0.0075
2.0000	-0.0048	0.0032	-0.0034	0.0041	0.0005	0.0024	-0.0023	0.0037	0.0046	0.0046	-0.0040	0.0039	0.0516	0.0088	0.0393	0.0044	-0.0162	0.0068	-0.0177	0.0070
2.0769	-0.0046	0.0037	-0.0083	0.0051	-0.0039	0.0032	-0.0004	0.0034	0.0002	0.0060	0.0051	0.0039	0.0225	0.0075	0.0170	0.0057	-0.0168	0.0068	-0.0179	0.0071
2.1538	-0.0059	0.0035	0.0013	0.0044	-0.0025	0.0033	0.0015	0.0032	0.0022	0.0055	-0.0003	0.0038	0.0071	0.0081	0.0006	0.0050	-0.0146	0.0076	-0.0099	0.0085
2.2308	-0.0031	0.0034	-0.0041	0.0030	0.0009	0.0031	-0.0014	0.0042	0.0026	0.0066	-0.0020	0.0034	-0.0078	0.0063	-0.0078	0.0052	-0.0090	0.0074	-0.0057	0.0070
2.3077	-0.0057	0.0025	-0.0079	0.0039	-0.0009	0.0042	-0.0005	0.0035	0.0015	0.0056	0.0031	0.0040	-0.0126	0.0052	-0.0138	0.0064	-0.0074	0.0066	-0.0040	0.0083
2.3846	-0.0017	0.0045	-0.0098	0.0033	-0.0003	0.0043	-0.0024	0.0030	-0.0081	0.0051	0.0052	0.0051	-0.0143	0.0051	-0.0245	0.0052			-0.0027	0.0057
2.4615	-0.0018	0.0037	-0.0096	0.0046	0.0026	0.0038	0.0002	0.0033	-0.0114	0.0069	-0.0025	0.0048	-0.0202	0.0051	-0.0188	0.0045				
2.5385	-0.0052	0.0034	-0.0076	0.0044	0.0055	0.0034	-0.0019	0.0031	0.0061	0.0056	-0.0010	0.0052	-0.0124	0.0057	-0.0211	0.0055				
2.6154	-0.0049	0.0047	-0.0053	0.0040	0.0015	0.0041	-0.0019	0.0035	0.0305	0.0063	0.0093	0.0057	-0.0094	0.0062	-0.0165	0.0057				
2.6923	-0.0090	0.0037	-0.0092	0.0042	0.0039	0.0034	-0.0020	0.0039	0.0626	0.0074	0.0207	0.0057	-0.0101	0.0068	-0.0167	0.0066				
2.7692	-0.0031	0.0027	-0.0096	0.0039	0.0025	0.0034	0.0007	0.0044	0.0962	0.0074	0.0350	0.0046	-0.0045	0.0067	-0.0125	0.0057				
2.8462	-0.0103	0.0038	-0.0070	0.0045	-0.0005	0.0041	-0.0007	0.0046	0.0950	0.0088	0.0445	0.0043	-0.0039	0.0075	-0.0117	0.0069				
2.9231	-0.0028	0.0044	-0.0095	0.0044	0.0014	0.0040	0.0007	0.0034	0.0660	0.0094	0.0436	0.0055	-0.0048	0.0065	-0.0132	0.0059				
3.0000	-0.0031	0.0061	-0.0114	0.0029	0.0026	0.0022	0.0009	0.0034	0.0406	0.0107	0.0244	0.0059	0.0053	0.0063	-0.0118	0.0047				
3.0769	-0.0039	0.0034	-0.0102	0.0031	0.0024	0.0040	-0.0001	0.0041	0.0144	0.0100	0.0128	0.0056	0.0015	0.0071	-0.0095	0.0043				
3.1538	-0.0023	0.0045	-0.0086	0.0038	0.0029	0.0035	-0.0021	0.0050	0.0016	0.0099	0.0004	0.0056	0.0017	0.0059	-0.0059	0.0049				
3.2308	-0.0068	0.0038	-0.0054	0.0040	0.0035	0.0029	-0.0042	0.0038	-0.0055	0.0074	-0.0145	0.0044	-0.0036	0.0061	-0.0033	0.0035				
3.3077	-0.0053	0.0041	-0.0099	0.0047	-0.0048	0.0030	-0.0038	0.0044	-0.0151	0.0078	-0.0131	0.0046	0.0009	0.0062	0.0016	0.0039				
3.3846	-0.0004	0.0048	-0.0096	0.0047	-0.0040	0.0027	-0.0032	0.0042	-0.0144	0.0086	-0.0165	0.0054								
3.4615	-0.0072	0.0038	-0.0086	0.0046	-0.0079	0.0042	-0.0042	0.0040	-0.0215	0.0084	-0.0223	0.0040								
3.5385	-0.0026	0.0038	-0.0118	0.0039	-0.0064	0.0030	-0.0047	0.0040	-0.0195	0.0084	-0.0213	0.0044								
3.6154	-0.0020	0.0035	-0.0165	0.0046	-0.0077	0.0040	-0.0060	0.0053	-0.0116	0.0075	-0.0211	0.0047								
3.6923	-0.0005	0.0033	-0.0091	0.0045	-0.0073	0.0042	-0.0017	0.0056	-0.0083	0.0082	-0.0159	0.0049								
3.7692	-0.0029	0.0033	-0.0067	0.0050	-0.0119	0.0040	-0.0091	0.0059	-0.0041	0.0088	-0.0131	0.0035								
3.8462	-0.0048	0.0040	-0.0125	0.0060	-0.0154	0.0040	-0.0109	0.0064	-0.0064	0.0076	-0.0157	0.0048								
3.9231	-0.0002	0.0031	-0.0079	0.0039	-0.0222	0.0041	-0.0097	0.0049	-0.0063	0.0087	-0.0120	0.0055								
4.0000	-0.0019	0.0039	-0.0091	0.0048	-0.0203	0.0034	-0.0089	0.0047	-0.0052	0.0086	-0.0156	0.0057								
4.0769	-0.0043	0.0034	-0.0160	0.0037	-0.0161	0.0044	-0.0124	0.0047	-0.0036	0.0070	-0.0119	0.0049								
4.1538	-0.0087	0.0058	-0.0098	0.0050	-0.0108	0.0055	-0.0102	0.0048	-0.0020	0.0075	-0.0149	0.0041								
4.2308	0.0014	0.0047	-0.0131	0.0052	-0.0031	0.0058	-0.0058	0.0044	-0.0084	0.0051	-0.0089	0.0036								
4.3077	0.0018	0.0046	-0.0083	0.0052	0.0195	0.0071	-0.0044	0.0044	-0.0088	0.0060	-0.0059	0.0053								
4.3846	-0.0033	0.0041	-0.0110	0.0048	0.0334	0.0079	0.0046	0.0048	-0.0048	0.0059	-0.0039	0.0037								
4.4615	-0.0021	0.0049	-0.0128	0.0049	0.0642	0.0084	0.0163	0.0042	-0.0054	0.0064	-0.0018	0.0034								
4.5385	-0.0022	0.0041	-0.0155	0.0050	0.0795	0.0062	0.0281	0.0035			-0.0031	0.0027								
4.6154	-0.0006	0.0053	-0.0173	0.0052	0.0958	0.0067	0.0278	0.0041												
4.6923	-0.0062	0.0036	-0.0150	0.0063	0.0953	0.0072	0.0308	0.0060												
4.7692	0.0007	0.0038	-0.0134	0.0060	0.0851	0.0074	0.0315	0.0042												
4.8462	-0.0058	0.0046	-0.0114	0.0064	0.0693	0.0082	0.0266	0.0067												
4.9231	0.0027	0.0044	-0.0135	0.0052	0.0552	0.0085	0.0242	0.0051												
5.0000	-0.0058	0.0046	-0.0179	0.0056	0.0416	0.0094	0.0099	0.0064												
5.0769	-0.0026	0.0046	-0.0139	0.0052	0.0219	0.0099	0.0019	0.0060												
5.1538	-0.0061	0.0041	-0.0161	0.0051	0.0036	0.0093	-0.0055	0.0063												
5.2308	-0.0072	0.0042	-0.0192	0.0057	-0.0073	0.0087	-0.0097	0.0059												
5.3077	-0.0042	0.0045	-0.0155	0.0063	-0.0141	0.0077	-0.0162	0.0055												
5.3846	-0.0052	0.0043	-0.0178	0.0055	-0.0114	0.0093	-0.0264	0.0058												
5.4615	-0.0079	0.0045	-0.0101	0.0063	-0.0147	0.0079	-0.0213	0.0057												
5.5385	-0.0098	0.0047	-0.0117	0.0057	-0.0162	0.0092	-0.0201	0.0050												
5.6154	-0.0052	0.0033	-0.0101	0.0055	-0.0176	0.0086	-0.0227	0.0059												
5.6923	-0.0029	0.0038	-0.0168	0.0063	-0.0179	0.0101	-0.0201	0.0056												
5.7692	-0.0115	0.0037	-0.0180	0.0058	-0.0199	0.0076	-0.0251	0.0042												
5.8462	-0.0117	0.0048	-0.0208	0.0052	-0.0140	0.0090	-0.0245	0.0053												
5.9231	-0.0079	0.0049	-0.0185	0.0048	-0.0116	0.0092	-0.0242	0.0054												
6.0000	-0.0107	0.0042	-0.0172	0.0055	-0.0094	0.0090	-0.0285	0.0063												
6.0769	-0.0089	0.0047	-0.0190	0.0057	-0.0069	0.0089	-0.0193	0.0058												
6.1538	-0.0108	0.0042	-0.0176	0.0063	-0.0046	0.0090	-0.0224	0.0056												
6.2308	-0.0127	0.0056	-0.0221	0.0061	-0.0082	0.0095	-0.0241	0.0051												
6.3077	-0.0122	0.0056	-0.0200	0.0061	-0.0067	0.0086	-0.0233	0.0055												
6.3846	-0.0125	0.0054	-0.0184	0.0051	0.0019	0.0093	-0.0220	0.0047												
6.4615	-0.0136	0.0036	-0.0204	0.0051	-0.0048	0.0084	-0.0191	0.0057												
6.5385	-0.0164	0.0046	-0.0235	0.0047	-0.0018	0.0083	-0.0232	0.0051												
6.6154	-0.0139	0.0051	-0.0193	0.0056	0.0022	0.0088	-0.0220	0.0063												
6.6923	-0.0194	0.0042	-0.0145	0.0053	0.0015	0.0084	-0.0239	0.0045												
6.7692	-0.0203	0.0048	-0.0153	0.0045	-0.0000	0.0094	-0.0227	0.0041												
6.8462	-0.0237	0.0044	-0.0133	0.0063	0.0039	0.0078	-0.0133	0.0055												
6.9231	-0.0243	0.0035	-0.0210	0.0044	-0.0004	0.0086	-0.0231	0.0065												
7.0000	-0.0264	0.0027	-0.0249	0.0048	-0.0006	0.0073	-0.0147	0.0047												
7.0769	-0.0219	0.0033	-0.0242	0.0054	0.0031	0.0080	-0.0173	0.0053												
7.1538	-0.0227	0.0039	-0.0238	0.0051	0.0013	0.0076	-0.0156	0.0054												
7.2308	-0.0209	0.0045	-0.0210	0.0056	0.0021	0.0084	-0.0191	0.0052												
7.3077	-0.0189	0.0046	-0.0235	0.0057	0.0066	0.0072	-0.0164	0.0056												
7.3846	-0.0068	0.0048	-0.0269	0.0043	0.0026	0.0083	-0.0129	0.0063												
7.4615	-0.0062	0.0037	-0.0183	0.0032	0.0044	0.0078	-0.0126	0.0051												
7.5385	0.0038	0.0059	-0.0149	0.0052	0.0019	0.0072	-0.0110	0.0059												
7.6154	0.0094	0.0054	-0.0142	0.0055	0.0039	0.0060	-0.0101	0.0051												
7.6923	0.0240	0.0069	-0.0133	0.0048	0.0064	0.0069	-0.0114	0.0043												
7.7692	0.0313	0.0054	-0.0088	0.0052	0.0071	0.0079	-0.0043	0.0038												
7.8462	0.0458	0.0069	-0.0059	0.0058	-0.0017	0.0054	-0.0109	0.0051												
7.9231	0.0593	0.0068	0.0026	0.0056	-0.0044	0.0058	-0.0049	0.0052												
8.0000	0.0624	0.0068	0.0070	0.0053	-0.0015	0.0053	-0.0048	0.0043												
8.0769	0.0787	0.0055	0.0111	0.0065	-0.0001	0.0040	0.0036	0.0040												
8.1538	0.0852	0.0056	0.0154	0.0042	0.0033	0.0040	0.0005	0.0037												
8.2308	0.0942	0.0044	0.0275	0.0040	0.0054	0.0054	-0.0033	0.0038												
8.3077	0.1005	0.0048	0.0273	0.0046	0.0023	0.0043	-0.0023	0.0028												
8.3846	0.1135	0.0043	0.0284	0.0047	-0.0018	0.0043	-0.0007	0.0026												
8.4615	0.0957	0.0044	0.0273	0.0044																
8.5385	0.0970	0.0051	0.0328	0.0052																
8.6154	0.0868	0.0051	0.0242	0.0043																
8.6923	0.0742	0.0050	0.0265	0.0054																
8.7692	0.0650	0.0059	0.0204	0.0043																
8.8462	0.0558	0.0067	0.0213	0.0057																
8.9231	0.0471	0.0062	0.0222	0.0056																
9.0000	0.0353	0.0069	0.0009	0.0055																
9.0769	0.0269	0.0070	0.0064	0.0060																
9.1538	0.0155	0.0078	-0.0039	0.0057																
9.2308	0.0087	0.0068	-0.0031	0.0058																
9.3077	0.0071	0.0081	-0.0104	0.0043																
9.3846	-0.0006	0.0073	-0.0126	0.0052																
9.4615	0.0003	0.0080	-0.0167	0.0053																
9.5385	-0.0058	0.0067	-0.0195	0.0050																
9.6154	-0.0167	0.0080	-0.0207	0.0043																
9.6923	-0.0155	0.0082	-0.0190	0.0060																
9.7692	-0.0148	0.0072	-0.0260	0.0049																
9.8462	-0.0103	0.0086	-0.0205	0.0046																
9.9231	-0.0059	0.0068	-0.0226	0.0044																
10.0000	-0.0121	0.0091	-0.0245	0.0040																
10.0769	-0.0119	0.0081	-0.0245	0.0058																
10.1538	-0.0032	0.0079	-0.0237	0.0065																
10.2308	-0.0116	0.0074	-0.0232	0.0045																
10.3077	-0.0099	0.0086	-0.0277	0.0047																
10.3846	-0.0098	0.0072	-0.0289	0.0047																
10.4615	-0.0088	0.0077	-0.0251	0.0047																
10.5385	-0.0091	0.0091	-0.0202	0.0039																
10.6154	-0.0095	0.0081	-0.0259	0.0036																
10.6923	-0.0049	0.0079	-0.0234	0.0042																
10.7692	-0.0056	0.0092	-0.0268	0.0059																
10.8462	-0.0078	0.0085	-0.0286	0.0053																
10.9231	-0.0073	0.0089	-0.0251	0.0056																
11.0000	-0.0007	0.0102	-0.0228	0.0047																
11.0769	0.0021	0.0111	-0.0204	0.0041																
11.1538	0.0000	0.0108	-0.0225	0.0050																
11.2308	-0.0023	0.0108	-0.0215	0.0044																
11.3077	-0.0002	0.0097	-0.0251	0.0054																
11.3846	-0.0013	0.0091	-0.0244	0.0049																
11.4615	-0.0023	0.0095	-0.0260	0.0040																
11.5385	0.0008	0.0100	-0.0232	0.0055																
11.6154	0.0057	0.0094	-0.0195	0.0030																
11.6923	0.0023	0.0100	-0.0174	0.0039																
11.7692	0.0076	0.0096	-0.0258	0.0052																
11.8462	0.0084	0.0093	-0.0225	0.0050																
11.9231	0.0102	0.0084	-0.0153	0.0036																
12.0000	0.0083	0.0089	-0.0237	0.0047																
12.0769	0.0116	0.0094	-0.0210	0.0055																
12.1538	0.0152	0.0104	-0.0176	0.0043																
12.2308	0.0146	0.0099	-0.0190	0.0057																
12.3077	0.0120	0.0101	-0.0156	0.0046																
